plant,col,red,nir,ndvi,population,date,day,vwc1,vwc2
1,1,12.4,57.6,0.646,b,6/14/2017,13,10.4675,22.77
1,2,16.1,58.6,0.569,b,6/14/2017,13,10.4675,22.77
1,3,15.5,55.3,0.562,b,6/14/2017,13,10.4675,22.77
1,4,12.2,57.6,0.65,b,6/14/2017,13,10.4675,22.77
1,5,14.8,62.9,0.619,b,6/14/2017,13,10.4675,22.77
1,6,13.6,54,0.598,b,6/14/2017,13,10.4675,22.77
1,7,12.8,62.1,0.658,b,6/14/2017,13,10.4675,22.77
1,8,15.1,56.5,0.578,b,6/14/2017,13,10.4675,22.77
1,9,13.4,64.7,0.657,b,6/14/2017,13,10.4675,22.77
1,10,12.4,61.8,0.666,b,6/14/2017,13,10.4675,22.77
1,11,15,59.5,0.597,b,6/14/2017,13,10.4675,22.77
1,12,15,66.6,0.632,b,6/14/2017,13,10.4675,22.77
1,13,12.4,66.3,0.685,b,6/14/2017,13,10.4675,22.77
1,14,13.4,59.1,0.63,b,6/14/2017,13,10.4675,22.77
1,15,15.9,58.9,0.575,b,6/14/2017,13,10.4675,22.77
1,16,12.8,63.5,0.664,b,6/14/2017,13,10.4675,22.77
1,17,15.7,62.6,0.599,b,6/14/2017,13,10.4675,22.77
1,18,16.9,66.8,0.596,b,6/14/2017,13,10.4675,22.77
1,19,17.3,62,0.564,b,6/14/2017,13,10.4675,22.77
1,20,14,63.3,0.638,b,6/14/2017,13,10.4675,22.77
1,21,14.4,59.4,0.61,b,6/14/2017,13,10.4675,22.77
1,22,14.2,65.3,0.643,b,6/14/2017,13,10.4675,22.77
1,23,14.2,63.8,0.636,b,6/14/2017,13,10.4675,22.77
1,24,15,63.6,0.618,b,6/14/2017,13,10.4675,22.77
1,25,11.7,64.7,0.694,b,6/14/2017,13,10.4675,22.77
1,26,13.2,61.1,0.645,b,6/14/2017,13,10.4675,22.77
1,27,12,65.3,0.69,b,6/14/2017,13,10.4675,22.77
1,28,12.4,57.3,0.644,b,6/14/2017,13,10.4675,22.77
1,29,14.2,63.3,0.634,b,6/14/2017,13,10.4675,22.77
1,30,13.6,71.4,0.68,b,6/14/2017,13,10.4675,22.77
1,31,12,66.2,0.693,b,6/14/2017,13,10.4675,22.77
1,32,12.6,64.8,0.674,b,6/14/2017,13,10.4675,22.77
1,33,12.4,66.6,0.686,b,6/14/2017,13,10.4675,22.77
1,34,11.1,60,0.688,b,6/14/2017,13,10.4675,22.77
1,35,12.2,60.3,0.663,b,6/14/2017,13,10.4675,22.77
1,36,12.2,59.4,0.659,b,6/14/2017,13,10.4675,22.77
